title,category,code,description_en,hierarchy_level,broader_concept_code,uri,broader_concept_uri,number_of_items
attend to detail,A,A1.2,"Accomplish a task with concern for all the areas involved, no matter how small.",2,A1,http://data.europa.eu/esco/skill/A1.2,http://data.europa.eu/esco/skill/A1,4
attend to detail,A,A1.2.0,"Accomplish a task with concern for all the areas involved, no matter how small.",3,A1.2,http://data.europa.eu/esco/skill/A1.2.0,http://data.europa.eu/esco/skill/A1.2,4
attend to hygiene,A,A1.3,"Take personal responsibility to guarantee a safe working environment, including personal hygiene.",2,A1,http://data.europa.eu/esco/skill/A1.3,http://data.europa.eu/esco/skill/A1,5
attend to hygiene,A,A1.3.0,"Take personal responsibility to guarantee a safe working environment, including personal hygiene.",3,A1.3,http://data.europa.eu/esco/skill/A1.3.0,http://data.europa.eu/esco/skill/A1.3,5
cope with pressure,A,A1.4,"Handle challenges, disruption and change and recover from set-backs and adversity.",2,A1,http://data.europa.eu/esco/skill/A1.4,http://data.europa.eu/esco/skill/A1,13
cope with pressure,A,A1.4.0,"Handle challenges, disruption and change and recover from set-backs and adversity.",3,A1.4,http://data.europa.eu/esco/skill/A1.4.0,http://data.europa.eu/esco/skill/A1.4,13
deal with uncertainty,A,A1.5,Tolerate and work constructively within unexpected and unpredictable situations.,2,A1,http://data.europa.eu/esco/skill/A1.5,http://data.europa.eu/esco/skill/A1,5
deal with uncertainty,A,A1.5.0,Tolerate and work constructively within unexpected and unpredictable situations.,3,A1.5,http://data.europa.eu/esco/skill/A1.5.0,http://data.europa.eu/esco/skill/A1.5,5
demonstrate curiosity,A,A1.6,"Show a lively interest in novelty, an openness to experience, find subjects and topics fascinating, actively explore and discover new areas.",2,A1,http://data.europa.eu/esco/skill/A1.6,http://data.europa.eu/esco/skill/A1,1
demonstrate curiosity,A,A1.6.0,"Show a lively interest in novelty, an openness to experience, find subjects and topics fascinating, actively explore and discover new areas.",3,A1.6,http://data.europa.eu/esco/skill/A1.6.0,http://data.europa.eu/esco/skill/A1.6,1
demonstrate enthusiasm,A,A1.7,"Display great effort driven by an interest or enjoyment in work itself, in the absence of external pressures.",2,A1,http://data.europa.eu/esco/skill/A1.7,http://data.europa.eu/esco/skill/A1,2
demonstrate enthusiasm,A,A1.7.0,"Display great effort driven by an interest or enjoyment in work itself, in the absence of external pressures.",3,A1.7,http://data.europa.eu/esco/skill/A1.7.0,http://data.europa.eu/esco/skill/A1.7,2
demonstrate willingness to learn,A,A1.8,Show a positive attitude towards new and challenging demands that can only be met via lifelong learning.,2,A1,http://data.europa.eu/esco/skill/A1.8,http://data.europa.eu/esco/skill/A1,5
demonstrate willingness to learn,A,A1.8.0,Show a positive attitude towards new and challenging demands that can only be met via lifelong learning.,3,A1.8,http://data.europa.eu/esco/skill/A1.8.0,http://data.europa.eu/esco/skill/A1.8,5
make an effort,A,A1.9,Show commitment to do something that is difficult and requires hard work.,2,A1,http://data.europa.eu/esco/skill/A1.9,http://data.europa.eu/esco/skill/A1,1
make an effort,A,A1.9.0,Show commitment to do something that is difficult and requires hard work.,3,A1.9,http://data.europa.eu/esco/skill/A1.9.0,http://data.europa.eu/esco/skill/A1.9,1
values,A,A2,"Principles or standards of behaviour, revealing one's judgement of what is important in life.",1,A,http://data.europa.eu/esco/skill/A2,http://data.europa.eu/esco/skill/A,34
values,A,A2.0,"Principles or standards of behaviour, revealing one's judgement of what is important in life.",2,A2,http://data.europa.eu/esco/skill/A2.0,http://data.europa.eu/esco/skill/A2,0
values,A,A2.0.0,"Principles or standards of behaviour, revealing one's judgement of what is important in life.",3,A2.0,http://data.europa.eu/esco/skill/A2.0.0,http://data.europa.eu/esco/skill/A2.0,0
demonstrate consideration,A,A2.1,Act in an understanding and supportive manner that is sensitive to others' needs and feelings.,2,A2,http://data.europa.eu/esco/skill/A2.1,http://data.europa.eu/esco/skill/A2,16
demonstrate consideration,A,A2.1.0,Act in an understanding and supportive manner that is sensitive to others' needs and feelings.,3,A2.1,http://data.europa.eu/esco/skill/A2.1.0,http://data.europa.eu/esco/skill/A2.1,16
demonstrate good manners,A,A2.2,"Engage with others according to the normal customs and expectations of contemporary social behaviour, appropriate to the context.",2,A2,http://data.europa.eu/esco/skill/A2.2,http://data.europa.eu/esco/skill/A2,6
demonstrate good manners,A,A2.2.0,"Engage with others according to the normal customs and expectations of contemporary social behaviour, appropriate to the context.",3,A2.2,http://data.europa.eu/esco/skill/A2.2.0,http://data.europa.eu/esco/skill/A2.2,6
follow ethical code of conduct,A,A2.3,"Carry out workplace activities according to accepted principles of right and wrong, including fairness, transparency and impartiality in work practices and conduct towards other people.",2,A2,http://data.europa.eu/esco/skill/A2.3,http://data.europa.eu/esco/skill/A2,12
follow ethical code of conduct,A,A2.3.0,"Carry out workplace activities according to accepted principles of right and wrong, including fairness, transparency and impartiality in work practices and conduct towards other people.",3,A2.3,http://data.europa.eu/esco/skill/A2.3.0,http://data.europa.eu/esco/skill/A2.3,12
knowledge,K,K,,0,is_top,http://data.europa.eu/esco/skill/K,is_top,2834
generic programmes and qualifications,K,K0,"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",1,K,http://data.europa.eu/esco/isced-f/00,http://data.europa.eu/esco/skill/K,9
generic programmes and qualifications not further defined,K,K0.0,,2,K0,http://data.europa.eu/esco/isced-f/000,http://data.europa.eu/esco/isced-f/00,0
generic programmes and qualifications not further defined,K,K0.0.0,,3,K0.0,http://data.europa.eu/esco/isced-f/0000,http://data.europa.eu/esco/isced-f/000,0
basic programmes and qualifications,K,K0.1,,2,K0,http://data.europa.eu/esco/isced-f/001,http://data.europa.eu/esco/isced-f/00,0
basic programmes and qualifications,K,K0.1.0,"Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",3,K0.1,http://data.europa.eu/esco/isced-f/0011,http://data.europa.eu/esco/isced-f/001,0
literacy and numeracy,K,K0.2,,2,K0,http://data.europa.eu/esco/isced-f/002,http://data.europa.eu/esco/isced-f/00,0
literacy and numeracy,K,K0.2.0,"Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",3,K0.2,http://data.europa.eu/esco/isced-f/0021,http://data.europa.eu/esco/isced-f/002,0
personal skills and development,K,K0.3,,2,K0,http://data.europa.eu/esco/isced-f/003,http://data.europa.eu/esco/isced-f/00,9
personal skills and development,K,K0.3.0,"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",3,K0.3,http://data.europa.eu/esco/isced-f/0031,http://data.europa.eu/esco/isced-f/003,9
generic programmes and qualifications not elsewhere classified,K,K0.4,,2,K0,http://data.europa.eu/esco/isced-f/009,http://data.europa.eu/esco/isced-f/00,0
generic programmes and qualifications not elsewhere classified,K,K0.4.0,,3,K0.4,http://data.europa.eu/esco/isced-f/0099,http://data.europa.eu/esco/isced-f/009,0
education,K,K1,,1,K,http://data.europa.eu/esco/isced-f/01,http://data.europa.eu/esco/skill/K,29
education,K,K1.0,,2,K1,http://data.europa.eu/esco/isced-f/011,http://data.europa.eu/esco/isced-f/01,29
education not further defined,K,K1.0.0,,3,K1.0,http://data.europa.eu/esco/isced-f/0110,http://data.europa.eu/esco/isced-f/011,0
education science,K,K1.0.1,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",3,K1.0,http://data.europa.eu/esco/isced-f/0111,http://data.europa.eu/esco/isced-f/011,13
training for pre-school teachers,K,K1.0.2,"Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",3,K1.0,http://data.europa.eu/esco/isced-f/0112,http://data.europa.eu/esco/isced-f/011,1
teacher training without subject specialisation,K,K1.0.3,"Training for teachers without subject specialisation is the study of the theories, methods and practice of providing children between approximately 5 and 15 years of age with the fundamental skills in reading, writing and mathematics along with an elementary understanding of other subjects such as history, geography, social science etc. and laying the foundation for lifelong learning. Subject specialisation is stressed less than in detailed field 0114 'Teacher training with subject specialisation'. The study of teaching children with special needs is included in this detailed field, likewise the study of teaching adults fundamental reading and writing skills and teaching immigrants these types of skills in their home or first language.
Programmes and qualifications with the following main content are classified here:
Class teacher training
Indigenous teacher training
Primary teaching
Teacher training for children with special needs

=== Inclusions
The study of teaching adults basic literacy and numeracy skills is included here. Teacher's aide (teaching assistant) is also included here.

=== Exclusions
Teacher training with subject specialisation even if intended for the teaching of children in primary or lower secondary education is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",3,K1.0,http://data.europa.eu/esco/isced-f/0113,http://data.europa.eu/esco/isced-f/011,7
teacher training with subject specialisation,K,K1.0.4,"Teacher training with subject specialisation is the study of the theories, methods and practice of teaching a specific subject, mostly at secondary or higher levels of education. Programmes and qualifications included in this detailed field often comprise both studies as well as the subject/subjects that are going to be taught.
Programmes and qualifications with the following main content are classified here:
Teacher training - arts and crafts
Teacher training - commercial subjects
Teacher training - music
Teacher training - nursing
Teacher training - physical training
Teacher training - second languages
Teacher training - specific theoretical subjects, e.g. English, mathematics, history
Teacher training - technical subjects
Teacher training - vocational subjects
Training of driving instructors
Training of trainers

=== Inclusions
Teacher training courses for university teachers, instructors of work place and working life skills and in practical and artistic subjects are included here.

=== Exclusions
Training of sports trainers is excluded from this detailed field and included in detailed field 1014 'Sports'.",3,K1.0,http://data.europa.eu/esco/isced-f/0114,http://data.europa.eu/esco/isced-f/011,8
education not elsewhere classified,K,K1.0.5,,3,K1.0,http://data.europa.eu/esco/isced-f/0119,http://data.europa.eu/esco/isced-f/011,0
inter-disciplinary programmes and qualifications involving education,K,K1.1,,2,K1,http://data.europa.eu/esco/isced-f/018,http://data.europa.eu/esco/isced-f/01,0
inter-disciplinary programmes and qualifications involving education,K,K1.1.0,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to education are classified here.,3,K1.1,http://data.europa.eu/esco/isced-f/0188,http://data.europa.eu/esco/isced-f/018,0
services,K,K10,,1,K,http://data.europa.eu/esco/isced-f/10,http://data.europa.eu/esco/skill/K,262
services not further defined,K,K10.0,,2,K10,http://data.europa.eu/esco/isced-f/100,http://data.europa.eu/esco/isced-f/10,0
services not further defined,K,K10.0.0,,3,K10.0,http://data.europa.eu/esco/isced-f/1000,http://data.europa.eu/esco/isced-f/100,0
personal services,K,K10.1,,2,K10,http://data.europa.eu/esco/isced-f/101,http://data.europa.eu/esco/isced-f/10,67
personal services not further defined,K,K10.1.0,,3,K10.1,http://data.europa.eu/esco/isced-f/1010,http://data.europa.eu/esco/isced-f/101,0
domestic services,K,K10.1.1,"Domestic services are the study of various domestic services, such as housekeeping, cleaning, laundering, sewing etc.
Programmes and qualifications with the following main content are classified here:
Caretaking, housekeeping and home service workers
Chimney sweeping
Cleaning
Cooking (home)
Domestic science
Dry-cleaning
Funeral services and mortuary science
Home economics
Laundry
Needlework (home)
Sewing (home)
Window cleaning

=== Inclusions
Cleaning is included here even if directed towards cleaning schools, hospitals, factories etc.

=== Exclusions
Study of building maintenance is excluded from this detailed field and included in detailed field 0732 'Building and civil engineering'.",3,K10.1,http://data.europa.eu/esco/isced-f/1011,http://data.europa.eu/esco/isced-f/101,7
hair and beauty services,K,K10.1.2,"Hair and beauty services are the study of caring for the hair and the body for beautification.
Programmes and qualifications with the following main content are classified here:
Barbering
Beauty therapy
Cosmetology (make up)
Fitness and weight control
Hairdressing
Manicure
Pedicure",3,K10.1,http://data.europa.eu/esco/isced-f/1012,http://data.europa.eu/esco/isced-f/101,19
"hotel, restaurants and catering",K,K10.1.3,"Hotel, restaurants and catering is the study of providing food, beverages, accommodation and related services at hotels, restaurants etc.
Programmes and qualifications with the following main content are classified here:
Catering
Cooking (restaurant and hotel-type)
Fast food preparation
Food serving
Hospitality services
Hotel and restaurant studies
Hotel receptionist training
Hotel services
Waiting and bar service

=== Exclusions
Study of food processing (industrial) is excluded from this detailed field and included in detailed field 0721 'Food processing'.
Receptionist training (general) is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",3,K10.1,http://data.europa.eu/esco/isced-f/1013,http://data.europa.eu/esco/isced-f/101,5
sports,K,K10.1.4,"Sports is the study of techniques and skills in a chosen sport.
Programmes and qualifications with the following main content are classified here:
Sport trainer studies
Techniques and skills in a chosen sport
Training of umpires/referees and other sports officials

=== Inclusions
Jockeying is included here. Chess playing is included here.

=== Exclusions
Training of school teachers in physical education (sports teachers) is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
Fitness services are excluded from this detailed field and included in detailed field 1012 'Hair and beauty services'.",3,K10.1,http://data.europa.eu/esco/isced-f/1014,http://data.europa.eu/esco/isced-f/101,21
"travel, tourism and leisure",K,K10.1.5,"Travel and tourism is the study of marketing and advertising tourist destinations and events. It includes the study of ticketing and reservation practices. Leisure is the study of recreational and leisure activities for individuals and groups.
Programmes and qualifications with the following main content are classified here:
Abseiling (rope climbing)
Adventure based activities
Ground crew training (airport)
Guiding, tour leading
Recreation and leisure
Tourist trades programmes
Travel agency services
Travel and tourism
Travel services

=== Inclusions
Basic training in how to treat tourists is included here.

=== Exclusions
Study of recreation and leisure activities for school children is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",3,K10.1,http://data.europa.eu/esco/isced-f/1015,http://data.europa.eu/esco/isced-f/101,15
personal services not elsewhere classified,K,K10.1.6,,3,K10.1,http://data.europa.eu/esco/isced-f/1019,http://data.europa.eu/esco/isced-f/101,0
hygiene and occupational health services,K,K10.2,,2,K10,http://data.europa.eu/esco/isced-f/102,http://data.europa.eu/esco/isced-f/10,62
hygiene and occupational health services not further defined,K,K10.2.0,,3,K10.2,http://data.europa.eu/esco/isced-f/1020,http://data.europa.eu/esco/isced-f/102,0
community sanitation,K,K10.2.1,"Community sanitation is the study of community services dealing with items that affect public health such as hygienic standards in food, water supply, disposal of sewage and garbage and street cleaning.
Programmes and qualifications with the following main content are classified here:
Hygiene, community
Hygienic standards
Refuse collection
Refuse/sewage disposal
Street cleaning
Water supply (service)
Waste management",3,K10.2,http://data.europa.eu/esco/isced-f/1021,http://data.europa.eu/esco/isced-f/102,22
occupational health and safety,K,K10.2.2,"Occupational health and safety is the study of recognising, evaluating and controlling environmental factors associated with the workplace.
Programmes and qualifications with the following main content are classified here:
Ergonomics (occupational health and safety)
Health and safety in the workplace
Industrial welfare
Labour protection
Labour security
Labour welfare (safety)
Occupational health and industrial hygiene
Occupational safety
Stress management
Work environment

=== Exclusions
Study of vocational rehabilitation and occupational therapy is excluded from this detailed field and included in detailed field 0915 'Therapy and rehabilitation'.
Study of labour law is excluded from this detailed field and included in 0421 'Law'.
Study of ergonomics is excluded from this detailed field if emphasis is given to technical aspects and is included in the appropriate detailed field under 071 'Engineering and engineering trades'.",3,K10.2,http://data.europa.eu/esco/isced-f/1022,http://data.europa.eu/esco/isced-f/102,40
hygiene and occupational health services not elsewhere classified,K,K10.2.3,,3,K10.2,http://data.europa.eu/esco/isced-f/1029,http://data.europa.eu/esco/isced-f/102,0
security services,K,K10.3,,2,K10,http://data.europa.eu/esco/isced-f/103,http://data.europa.eu/esco/isced-f/10,46
security services not further defined,K,K10.3.0,,3,K10.3,http://data.europa.eu/esco/isced-f/1030,http://data.europa.eu/esco/isced-f/103,0
military and defence,K,K10.3.1,"Military and defence is the study of services to the community connected with war and defence, designed to provide training in the principles and practice of military science.
Programmes and qualifications with the following main content are classified here:
Air force training
Army training
Defence studies
Military science
Navy training
War theory

=== Exclusions
Military personnel participating in non-military programmes should be classified according to the subject content of the training programme.",3,K10.3,http://data.europa.eu/esco/isced-f/1031,http://data.europa.eu/esco/isced-f/103,13
protection of persons and property,K,K10.3.2,"Protection of persons and property is the study of services to the community concerning protection of property and persons. It comprises training in police work, public security, fire protection and fire-fighting.
Programmes and qualifications with the following main content are classified here:
Civil security
Customs programmes
Fire-protection (fire-fighting)
Fire technology
Life guarding
Police work
Policing studies
Prison work
Public security
Security and loss prevention services
Security guarding

=== Exclusions
Study of law is excluded from this detailed field and included in 0421 'Law'.
Study of criminology is excluded from this detailed field and included in detailed field 0314 'Sociology and cultural studies'.",3,K10.3,http://data.europa.eu/esco/isced-f/1032,http://data.europa.eu/esco/isced-f/103,33
security services not elsewhere classified,K,K10.3.3,,3,K10.3,http://data.europa.eu/esco/isced-f/1039,http://data.europa.eu/esco/isced-f/103,0
transport services,K,K10.4,,2,K10,http://data.europa.eu/esco/isced-f/104,http://data.europa.eu/esco/isced-f/10,87
transport services,K,K10.4.0,"Transport is the study of operating, navigating and directing ships, train, aircraft and other forms of transportation.
Programmes and qualifications with the following main content are classified here:
Aircraft operation
Air traffic control
Air traffic safety
Cabin crew training
Communication (air, railway, road etc.) programmes
Crane and truck driving
Driving programmes
Flying and navigation
Navigation technologies
Postal service
Railway operations
Road motor vehicle operations
Ship operation
Shipping
Transport studies

=== Exclusions
Programmes in telephone network services are excluded from this detailed field and included in detailed field 0714 'Electronics and automation'. Programmes in switchboard operating are excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",3,K10.4,http://data.europa.eu/esco/isced-f/1041,http://data.europa.eu/esco/isced-f/104,87
inter-disciplinary programmes and qualifications involving services,K,K10.5,,2,K10,http://data.europa.eu/esco/isced-f/108,http://data.europa.eu/esco/isced-f/10,0
inter-disciplinary programmes and qualifications involving services,K,K10.5.0,Inter-disciplinary programmes and qualifications to which the greatest intended learning time is devoted to services are classified here.,3,K10.5,http://data.europa.eu/esco/isced-f/1088,http://data.europa.eu/esco/isced-f/108,0
services not elsewhere classified,K,K10.6,,2,K10,http://data.europa.eu/esco/isced-f/109,http://data.europa.eu/esco/isced-f/10,0
services not elsewhere classified,K,K10.6.0,,3,K10.6,http://data.europa.eu/esco/isced-f/1099,http://data.europa.eu/esco/isced-f/109,0
field unknown,K,K11,,1,K,http://data.europa.eu/esco/isced-f/99,http://data.europa.eu/esco/skill/K,1
field unknown,K,K11.0,,2,K11,http://data.europa.eu/esco/isced-f/999,http://data.europa.eu/esco/isced-f/99,1
field unknown,K,K11.0.0,,3,K11.0,http://data.europa.eu/esco/isced-f/9999,http://data.europa.eu/esco/isced-f/999,1
arts and humanities,K,K2,,1,K,http://data.europa.eu/esco/isced-f/02,http://data.europa.eu/esco/skill/K,258
arts and humanities not further defined,K,K2.0,,2,K2,http://data.europa.eu/esco/isced-f/020,http://data.europa.eu/esco/isced-f/02,0
arts and humanities not further defined,K,K2.0.0,,3,K2.0,http://data.europa.eu/esco/isced-f/0200,http://data.europa.eu/esco/isced-f/020,0
arts,K,K2.1,,2,K2,http://data.europa.eu/esco/isced-f/021,http://data.europa.eu/esco/isced-f/02,160
arts not further defined,K,K2.1.0,,3,K2.1,http://data.europa.eu/esco/isced-f/0210,http://data.europa.eu/esco/isced-f/021,0
audio-visual techniques and media production,K,K2.1.1,"Audio-visual techniques and media production is the study of techniques and skills to produce books or newspapers, radio or TV production, film or video production, recorded music production and graphic reproduction. It includes programmes and qualifications in methods of colour reproduction, photography and computer graphics. Study of combining pictures, words and decorations in the production of books, magazines, posters, adverts etc. is also included.
Programmes and qualifications with the following main content are classified here:
Animation
Bookbinding
Camera operating
Compositing (printing)
Computer game production
Computer type-setting
Film and video production
Graphic design
Graphic reproduction
Illustration
Interactive media design
Media techniques
Multimedia production
Photography
Pre-press operations
Print finishing and binding
Printing
Publishing design, lay-out
Radio and TV production
Recorded music production
Sound techniques
Type-setting

=== Inclusions
Desktop publishing and lay-out are included here.

=== Exclusions
Programmes and qualifications in the use of specific software applications for desktop publishing and website development are excluded from this detailed field and included in detailed field 0611 'Computer use'.
Study of journalism (wording and content of messages) is excluded from this detailed field and included in detailed field 0321 'Journalism and reporting'.",3,K2.1,http://data.europa.eu/esco/isced-f/0211,http://data.europa.eu/esco/isced-f/021,85
"fashion, interior and industrial design",K,K2.1.2,"Fashion, interior and industrial design is the study of creatively combining line, form and fabric in designing and constructing e.g. fashion garments, industrial products and interiors.
Programmes and qualifications with the following main content are classified here:
Costume design
Design of industrial products
Fashion design
Interior architecture
Interior design
Stage designing
Window dressing

=== Exclusions
Study of Building design is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Study of Industrial design is excluded from this detailed field if emphasis is given to technical subjects and not to artistic design, and included in the appropriate detailed field under 071 'Engineering and engineering trades'.
Publishing design and graphic design are excluded from this detailed field and included in detailed field 0211 'Audio-visual techniques and media production'.",3,K2.1,http://data.europa.eu/esco/isced-f/0212,http://data.europa.eu/esco/isced-f/021,13
